MAG_USE,RA,DEC,star_ok,MAIN_ID,PMRA,PMDEC
13.42,6.0267645,-72.092776,1,M023247,0.0,0.0
13.5,6.042485999999999,-72.092737,1,M023348,0.0,0.0
14.63,6.0202275,-72.092645,1,M023594,0.0,0.0
13.5,6.001356,-72.092624,1,M023640,0.0,0.0
14.55,6.082656,-72.092611,1,M023669,0.0,0.0
13.89,6.029453999999999,-72.092515,1,M023911,0.0,0.0
14.25,6.029217,-72.09249,1,M023981,0.0,0.0
14.63,6.058143,-72.092477,1,M024028,0.0,0.0
14.38,6.050175,-72.092469,1,M024046,0.0,0.0
13.41,6.062973,-72.092458,1,M024072,0.0,0.0
14.66,6.012284999999999,-72.092436,1,M024122,0.0,0.0
14.46,6.066768,-72.092421,1,M024162,0.0,0.0
14.03,6.0364125,-72.092376,1,M024248,0.0,0.0
14.62,6.011745,-72.092368,1,M024269,0.0,0.0
14.72,5.945478,-72.092358,1,M024295,0.0,0.0
14.5,6.056568,-72.09234,1,M024332,0.0,0.0
13.08,5.9868915,-72.092317,1,M024389,0.0,0.0
14.73,6.023797500000001,-72.092275,1,M024496,0.0,0.0
14.38,6.0228945,-72.092267,1,M024521,0.0,0.0
14.65,6.1042335,-72.092237,1,M024608,0.0,0.0
14.5,6.0437625,-72.09223,1,M024632,0.0,0.0
14.52,6.070479000000001,-72.092211,1,M024681,0.0,0.0
14.63,6.0709859999999995,-72.092211,1,M024683,0.0,0.0
14.97,6.008934,-72.092056,1,M025062,0.0,0.0
14.58,5.9861625,-72.092029,1,M025130,0.0,0.0
14.17,6.0406575,-72.091895,1,M025484,0.0,0.0
14.14,6.0474435,-72.091733,1,M025888,0.0,0.0
14.41,6.030034499999999,-72.091722,1,M025912,0.0,0.0
11.04,5.9921505,-72.09172,1,M025920,0.0,0.0
14.27,5.990382,-72.09172,1,M025923,0.0,0.0
14.66,6.043000500000001,-72.091689,1,M026006,0.0,0.0
13.54,6.031116,-72.091638,1,M026127,0.0,0.0
14.7,5.981427,-72.091608,1,M026195,0.0,0.0
13.58,5.9558475,-72.091549,1,M026351,0.0,0.0
13.12,5.9895555,-72.091449,1,M026612,0.0,0.0
14.08,6.006177,-72.091398,1,M026766,0.0,0.0
14.59,6.035823,-72.091335,1,M026929,0.0,0.0
14.64,6.012799500000001,-72.091305,1,M027003,0.0,0.0
13.3,5.9988915,-72.091184,1,M027325,0.0,0.0
14.65,6.0614925,-72.091179,1,M027338,0.0,0.0
14.0,6.0610155,-72.090931,1,M028008,0.0,0.0
14.45,5.9743845,-72.090886,1,M028124,0.0,0.0
15.0,6.035052,-72.090867,1,M028178,0.0,0.0
14.74,6.009978,-72.090833,1,M028273,0.0,0.0
14.45,6.055053,-72.090808,1,M028341,0.0,0.0
14.61,6.0368025,-72.090801,1,M028354,0.0,0.0
14.49,6.032430000000001,-72.090689,1,M028658,0.0,0.0
14.71,5.9689515,-72.090635,1,M028789,0.0,0.0
14.19,6.047973,-72.09061,1,M028864,0.0,0.0
14.95,5.966958,-72.090599,1,M028897,0.0,0.0
14.59,5.948301,-72.090436,1,M029331,0.0,0.0
14.77,6.031491,-72.090345,1,M029577,0.0,0.0
14.59,5.9397435000000005,-72.090318,1,M029662,0.0,0.0
14.62,6.033396,-72.090175,1,M030073,0.0,0.0
14.54,6.0460395,-72.090091,1,M030309,0.0,0.0
14.57,5.984616,-72.090082,1,M030333,0.0,0.0
14.6,6.006604500000001,-72.090068,1,M030377,0.0,0.0
14.54,6.042516,-72.090055,1,M030421,0.0,0.0
14.48,6.028485,-72.090039,1,M030451,0.0,0.0
14.63,6.0313905000000005,-72.08998,1,M030615,0.0,0.0
14.07,5.9799195,-72.089952,1,M030691,0.0,0.0
14.46,6.005221499999999,-72.089933,1,M030735,0.0,0.0
14.41,6.01512,-72.089912,1,M030801,0.0,0.0
14.42,6.0575355,-72.089909,1,M030811,0.0,0.0
13.17,6.005733,-72.089884,1,M030876,0.0,0.0
14.57,5.987802,-72.089882,1,M030883,0.0,0.0
14.67,6.0635580000000004,-72.089821,1,M031051,0.0,0.0
14.34,6.028385999999999,-72.089808,1,M031088,0.0,0.0
14.42,5.9724105,-72.089743,1,M031277,0.0,0.0
14.49,6.0230205,-72.089728,1,M031317,0.0,0.0
13.96,5.9455035,-72.089697,1,M031387,0.0,0.0
14.09,6.041949,-72.089459,1,M032048,0.0,0.0
14.46,6.029403,-72.089351,1,M032345,0.0,0.0
14.91,6.0137475,-72.08934,1,M032373,0.0,0.0
14.57,6.027813,-72.08918,1,M032819,0.0,0.0
13.96,6.028974,-72.089062,1,M033134,0.0,0.0
14.01,6.037167,-72.089033,1,M033225,0.0,0.0
13.54,5.987988,-72.089005,1,M033300,0.0,0.0
14.54,6.0262545,-72.088996,1,M033324,0.0,0.0
14.75,5.944191,-72.088925,1,M033520,0.0,0.0
12.87,6.032415,-72.088921,1,M033529,0.0,0.0
13.52,5.9992695000000005,-72.088877,1,M033660,0.0,0.0
14.34,6.027012,-72.088822,1,M033822,0.0,0.0
14.58,6.038238,-72.088781,1,M033928,0.0,0.0
14.53,6.0945045,-72.088731,1,M034083,0.0,0.0
14.27,6.034506,-72.088725,1,M034105,0.0,0.0
14.61,6.04122,-72.088651,1,M034307,0.0,0.0
14.8,5.940078,-72.088649,1,M034312,0.0,0.0
14.63,6.0143070000000005,-72.088608,1,M034422,0.0,0.0
13.54,6.0802214999999995,-72.088575,1,M034527,0.0,0.0
14.55,6.0426765,-72.088559,1,M034569,0.0,0.0
14.29,6.013428,-72.088478,1,M034813,0.0,0.0
13.81,6.0313035,-72.088438,1,M034939,0.0,0.0
14.63,6.0578985,-72.088433,1,M034951,0.0,0.0
14.69,6.030380999999999,-72.088385,1,M035086,0.0,0.0
14.86,6.072474000000001,-72.088383,1,M035093,0.0,0.0
14.6,6.072273,-72.088286,1,M035351,0.0,0.0
14.49,6.0180135,-72.088191,1,M035629,0.0,0.0
14.62,6.0188385,-72.088181,1,M035654,0.0,0.0
14.12,6.0272085,-72.088169,1,M035689,0.0,0.0
14.63,5.9900685000000005,-72.088124,1,M035821,0.0,0.0
14.95,6.1087394999999995,-72.08811,1,M035857,0.0,0.0
14.25,6.0272175,-72.088084,1,M035925,0.0,0.0
14.18,5.9996745,-72.088016,1,M036141,0.0,0.0
14.52,6.1106745,-72.088008,1,M036169,0.0,0.0
14.6,6.0036629999999995,-72.087994,1,M036202,0.0,0.0
14.77,5.981908499999999,-72.087908,1,M036475,0.0,0.0
14.43,6.0254354999999995,-72.087902,1,M036494,0.0,0.0
13.99,6.0232470000000005,-72.087891,1,M036534,0.0,0.0
14.32,6.0322830000000005,-72.087858,1,M036630,0.0,0.0
14.49,6.0640575,-72.08782,1,M036723,0.0,0.0
14.49,6.070665,-72.087811,1,M036755,0.0,0.0
14.23,6.0291974999999995,-72.087779,1,M036860,0.0,0.0
14.53,6.044517,-72.087665,1,M037189,0.0,0.0
14.53,6.064516500000001,-72.087622,1,M037315,0.0,0.0
