MAIN_ID,RA,DEC,RA_err,DEC_err,PMRA,PMRA_err,PMDEC,PMDEC_err,N_used,MAG_EXTRAPOL,m_F606W,m_F814W,m_F606W_err,m_F814W_err,BB_Lpmag,BBtemps
69068,6.021054001678439,-72.08082828888888,0.0,0.0,0.70396,0.0116,-0.18816,0.01296,52,1.6520000000000117,14.084,13.307,9.9,9.9,12.981654819847005,7217859.347963073
62406,6.054181797780615,-72.07194582222222,0.0,0.0,0.4938,0.02012,-0.82048,0.04344,10,1.592999999999991,14.089,13.308,9.9,9.9,12.982654819847005,7217859.347963073
42008,6.010233619018288,-72.09092104444443,0.0,0.0,-0.79088,0.05508,0.09632,0.10072,12,1.7019999999999857,14.086,13.312,9.9,9.9,12.986654819847004,7217859.347963073
27596,6.088220970711223,-72.08321494444444,0.0,0.0,-0.11504,0.05276,-0.02144,0.02972,10,1.7180000000000053,14.086,13.313,9.9,9.9,12.987654819847005,7217859.347963073
30438,6.0703699966501805,-72.0832551,0.0,0.0,0.0332,0.01812,0.51436,0.0308,8,1.8990000000000116,14.075,13.314,9.9,9.9,12.988654819847005,7217859.347963073
28861,6.0792522465300465,-72.0872235,0.0,0.0,-0.31924,0.04156,0.2878,0.08984,10,1.6279999999999824,14.108,13.328,9.9,9.9,13.002654819847004,7217859.347963073
64522,6.044391147795346,-72.07092499999999,0.0,0.0,-0.15644,0.03352,-0.41156,0.108,10,1.675999999999993,14.124,13.346,9.9,9.9,13.020654819847005,7217859.347963073
33110,6.054289527701371,-72.091505,0.0,0.0,0.08968,0.02728,0.27772,0.05296,10,1.5859999999999896,14.13,13.346,9.9,9.9,13.020654819847005,7217859.347963073
25413,6.105438349392666,-72.08197535555554,0.0,0.0,1.01464,0.07936,-0.68396,0.0298,12,1.548999999999987,14.141,13.354,9.9,9.9,13.028654819847004,7217859.347963073
12448,6.029048923334255,-72.09614883333333,0.0,0.0,0.07076,0.04732,-0.0322,0.11872,12,1.6869999999999923,14.135,13.357,9.9,9.9,13.031654819847004,7217859.347963073
62128,6.056274454399923,-72.07542729999999,0.0,0.0,-0.03604,0.02932,0.54772,0.10036,10,1.7960000000000154,14.132,13.361,9.9,9.9,13.035654819847005,7217859.347963073
46479,5.987556980099776,-72.09448617777777,0.0,0.0,-0.41036,0.05076,-0.04516,0.01304,12,1.7990000000000155,14.135,13.364,9.9,9.9,13.038654819847006,7217859.347963073
