MAIN_ID,RA,DEC,PMRA,PMDEC,MAG_V,MAG_U,MAG_USE
M075137,0 23 47.14188,-72 4 34.0068,1.47,-0.0582,18.026,18.893,18.25
M075138,0 24 6.85368,-72 4 34.0032,-0.515,0.0245,17.704,18.457,17.8
M075174,0 24 5.7654,-72 4 33.96,-0.555,-0.0802,17.546,18.338,17.66
M075187,0 23 57.44292,-72 4 33.9528,0.302,0.358,19.89,21.64,20.17
M075200,0 23 56.73876,-72 4 33.9384,0.151,0.0225,18.36,19.147,18.52
M075205,0 23 48.70248,-72 4 33.9312,-0.0507,0.0285,18.28,19.079,18.49
M075211,0 24 6.318,-72 4 33.9276,0.374,-0.762,18.757,19.735,18.91
M075215,0 24 6.06456,-72 4 33.924,-0.654,0.401,19.673,21.109,19.08
M075216,0 24 4.56552,-72 4 33.9204,0.562,0.0165,18.322,19.379,18.55
M075223,0 24 5.60952,-72 4 33.9132,-0.0131,-0.00837,17.831,18.642,17.97
M075241,0 24 5.29236,-72 4 33.8916,-0.715,0.0966,17.815,18.509,17.88
M075246,0 23 53.44836,-72 4 33.8844,-0.152,0.254,19.726,21.376,19.96
M075254,0 23 52.42416,-72 4 33.87,-0.366,-0.0937,17.483,18.282,17.7
M075265,0 24 7.01892,-72 4 33.8664,-0.0979,-0.823,18.196,18.937,18.29
M075290,0 23 55.34952,-72 4 33.8412,-0.342,-1.04,18.002,18.753,18.23
M075298,0 23 44.43252,-72 4 33.8268,0.0602,-0.362,19.275,20.631,19.48
M075309,0 24 5.1732,-72 4 33.816,1.11,0.249,18.295,19.2,18.45
M075317,0 24 5.88996,-72 4 33.8052,0.798,0.894,19.827,21.414,19.88
M075345,0 23 54.9726,-72 4 33.7692,0.961,1.1,19.892,21.54,20.1
M075360,0 23 49.254,-72 4 33.7584,0.395,-0.055,17.666,18.379,17.81
M075372,0 24 4.8996,-72 4 33.7512,-1.25,-0.676,18.083,18.722,18.06
M075380,0 24 6.79284,-72 4 33.7404,-0.248,0.618,17.945,18.744,18.03
M075381,0 23 51.55152,-72 4 33.7404,-0.0894,0.0766,18.509,19.42,18.73
M075395,0 24 5.98428,-72 4 33.7296,2.47,-2.5,19.439,21.267,19.38
M075399,0 24 5.67972,-72 4 33.726,-0.338,-0.052,19.197,20.399,19.38
M075400,0 24 5.5818,-72 4 33.726,0.866,-0.298,18.942,20.034,19.09
M075432,0 23 55.69116,-72 4 33.6756,0.438,-0.468,17.699,18.447,17.92
M075434,0 24 5.46048,-72 4 33.6756,0.503,-1.06,18.104,18.904,18.24
M075448,0 23 57.15672,-72 4 33.654,-1.05,0.449,18.338,19.247,18.62
M075455,0 24 6.5088,-72 4 33.6504,-0.635,-1.38,19.545,20.958,19.67
M075471,0 23 44.53296,-72 4 33.636,-0.212,-0.527,17.218,18.182,17.46
M075473,0 24 7.155,-72 4 33.6324,-0.461,1.07,18.453,19.743,18.56
M075476,0 23 53.1294,-72 4 33.6288,0.0298,-0.465,18.46,19.438,18.74
M075493,0 24 6.98364,-72 4 33.6144,-1.38,0.935,19.097,20.169,19.02
M075502,0 24 5.24484,-72 4 33.6072,0.568,-0.0475,19.063,20.018,19.08
M075529,0 24 4.896,-72 4 33.582,-0.33,0.296,17.426,18.201,17.57
M075540,0 24 6.921,-72 4 33.5604,0.0634,0.458,19.356,20.725,19.53
M075549,0 23 49.0398,-72 4 33.546,-1.2,0.724,19.28,20.605,19.54
