MAIN_ID,RA,DEC,PMRA,PMDEC,MAG_V,MAG_U,MAG_USE
M006854,0 24 1.65528,-72 6 1.4724,-0.697,0.121,18.293,19.098,18.43
M006855,0 24 3.537,-72 6 1.46880000001,-0.403,-1.06,18.911,19.868,19.01
M006860,0 24 13.1652,-72 6 1.45439999999,0.972,0.191,20.224,22.509,20.54
M006862,0 24 0.5292,-72 6 1.44720000001,-0.644,0.969,19.472,20.866,19.6
M006866,0 24 0.4104,-72 6 1.43279999999,-0.207,1.36,19.516,20.993,19.72
M006868,0 24 18.05796,-72 6 1.43279999999,1.58,-1.94,19.533,20.878,19.66
M006872,0 23 54.59568,-72 6 1.42200000002,-0.421,-0.163,18.96,20.024,19.12
M006880,0 23 58.06644,-72 6 1.3896,0.578,-0.9,19.226,20.459,19.4
M006881,0 24 19.22364,-72 6 1.3896,-0.457,0.767,18.007,18.744,18.13
M006885,0 24 1.89684,-72 6 1.38240000002,0.107,-0.699,18.56,19.47,18.72
M006888,0 23 58.63668,-72 6 1.37879999998,-0.228,-0.293,17.346,18.219,17.48
M006890,0 24 3.82284,-72 6 1.37519999999,0.00585,0.712,17.6,18.359,17.73
M006892,0 24 18.873,-72 6 1.368,0.469,-0.034,19.627,21.294,19.86
M006893,0 24 11.59596,-72 6 1.368,-0.0607,-0.541,18.793,19.816,19.0
M006908,0 24 0.75024,-72 6 1.33559999998,-0.616,0.0424,17.165,18.676,17.41
M006909,0 24 17.70408,-72 6 1.33199999999,-0.0607,-0.67,19.058,20.2,19.2
M006911,0 24 10.77948,-72 6 1.33199999999,-0.292,0.137,16.964,18.483,17.25
M006917,0 24 13.35816,-72 6 1.31759999998,-0.122,-0.418,19.239,20.572,19.39
M006918,0 24 14.70348,-72 6 1.31759999998,-0.133,-0.731,17.269,18.469,17.48
M006922,0 24 8.51436,-72 6 1.31759999998,-0.0224,-0.222,17.839,18.606,17.95
M006924,0 23 53.02788,-72 6 1.31399999999,0.233,-1.05,17.947,18.694,18.08
M006927,0 24 0.23256,-72 6 1.30680000001,-0.264,0.699,19.558,20.982,19.71
M006932,0 24 5.24844,-72 6 1.29599999998,0.587,0.461,20.104,22.067,20.32
M006940,0 23 59.31492,-72 6 1.28160000002,0.513,0.639,19.403,20.82,19.6
M006941,0 24 10.68984,-72 6 1.2672,-0.407,0.347,18.366,19.172,18.47
M006942,0 24 17.3826,-72 6 1.2672,0.387,-0.122,18.742,19.693,18.91
M006944,0 23 53.5236,-72 6 1.26360000001,0.701,0.185,19.126,20.308,19.31
M006945,0 23 54.20364,-72 6 1.25639999998,0.509,-0.0719,17.728,18.447,17.84
M006946,0 24 4.43664,-72 6 1.25279999999,-0.935,1.23,17.964,18.633,18.0
M006947,0 23 59.69616,-72 6 1.2492,-0.676,0.147,17.317,18.206,17.47
M006950,0 24 0.109800000001,-72 6 1.24200000002,0.314,0.373,19.644,21.213,19.78
M006951,0 23 59.3916,-72 6 1.24200000002,0.117,0.524,19.413,20.778,19.57
M006955,0 24 16.14636,-72 6 1.23119999999,0.705,0.476,20.097,22.221,20.34
M006959,0 24 12.95928,-72 6 1.22040000002,1.09,0.855,17.373,18.224,17.52
M006964,0 24 20.54772,-72 6 1.21679999998,-0.699,-0.678,20.26,22.466,20.57
M006973,0 24 10.39716,-72 6 1.20240000001,-0.451,-1.31,19.135,20.87,19.46
M006980,0 24 3.98664,-72 6 1.18080000002,0.352,-0.374,19.632,21.154,19.78
M006981,0 23 58.75368,-72 6 1.17719999997,-0.378,0.498,17.307,18.24,17.45
M006982,0 24 0.632160000001,-72 6 1.16999999999,-0.122,1.63,17.782,18.545,17.94
M006994,0 24 17.99208,-72 6 1.13399999998,-0.27,0.195,17.482,18.251,17.62
M007003,0 23 58.98228,-72 6 1.12320000001,-0.473,1.25,19.301,20.561,19.38
M007012,0 24 3.67668,-72 6 1.09800000002,0.211,1.1,18.745,19.718,18.87
M007013,0 24 9.333,-72 6 1.09439999998,-0.234,0.0287,18.036,18.849,18.17
M007014,0 23 57.18552,-72 6 1.09439999998,-0.493,0.162,17.921,18.89,18.11
M007016,0 24 2.78136,-72 6 1.0872,1.23,-0.939,18.864,19.9,19.01
M007020,0 24 2.01024,-72 6 1.08360000001,-0.672,-0.13,18.706,19.638,18.83
M007027,0 24 9.47808,-72 6 1.05479999998,0.363,0.537,20.25,22.394,20.38
M007039,0 24 10.49292,-72 6 1.026,-0.32,0.092,19.211,20.464,19.39
M007040,0 23 53.87208,-72 6 1.026,0.53,0.336,17.449,18.307,17.59
M007043,0 24 16.57728,-72 6 1.01880000002,-0.109,0.0251,18.123,18.871,18.24
M007047,0 24 12.654,-72 6 1.00799999999,-0.397,-0.99,19.492,20.868,19.57
M007048,0 24 16.05168,-72 6 1.00799999999,-0.976,0.496,18.966,20.181,19.17
M007050,0 24 5.45112,-72 6 1.00799999999,0.639,-0.33,17.723,18.466,17.83
M007051,0 24 0.9162,-72 6 1.0044,0.737,0.547,19.125,20.267,19.27
M007057,0 24 8.44704,-72 6 0.99720000002,0.393,0.295,17.785,18.53,17.9
M007059,0 24 18.24552,-72 6 0.989999999987,0.745,0.0378,19.999,21.92,20.26
M007062,0 23 52.224,-72 6 0.982800000005,-0.655,0.226,18.95,19.981,19.06
M007074,0 23 55.94244,-72 6 0.961200000008,-0.493,0.671,18.899,20.064,19.11
M007081,0 24 14.61096,-72 6 0.943200000003,0.302,1.27,18.527,19.439,18.66
M007099,0 24 5.65272,-72 6 0.885599999995,0.579,-3.34,19.584,21.435,20.0
M007100,0 24 5.14548,-72 6 0.882000000004,-1.36,-0.161,18.45,19.357,18.59
M007118,0 24 11.56248,-72 6 0.845999999992,0.907,-0.248,17.532,18.391,17.67
M007125,0 23 51.81036,-72 6 0.824399999996,-1.03,-0.326,19.524,20.932,19.73
M007137,0 24 12.37644,-72 6 0.799200000008,-0.553,0.109,18.129,18.845,18.15
M007140,0 23 56.40576,-72 6 0.788399999984,-1.02,1.09,16.704,18.029,16.97
M007141,0 24 19.95012,-72 6 0.781200000002,-0.406,0.424,19.144,20.374,19.31
M007154,0 24 9.738,-72 6 0.759600000006,0.205,0.501,18.426,19.237,18.49
M007158,0 24 19.57608,-72 6 0.752400000024,0.502,0.767,20.199,22.377,20.44
M007162,0 24 16.40952,-72 6 0.745199999991,0.542,-0.259,19.652,21.243,19.8
M007163,0 24 20.0736,-72 6 0.745199999991,0.0162,-0.251,17.499,18.228,17.66
M007168,0 24 10.26144,-72 6 0.727199999985,-0.995,-0.315,18.578,19.509,18.72
M007178,0 24 11.44548,-72 6 0.70919999998,-0.571,0.0634,18.006,18.809,18.16
M007179,0 24 18.00756,-72 6 0.70919999998,-0.461,0.274,19.398,20.678,19.45
M007184,0 24 4.1778,-72 6 0.701999999998,1.21,-1.23,19.216,20.433,19.32
M007189,0 23 57.03,-72 6 0.687599999983,-0.535,-0.221,19.248,20.614,19.44
M007190,0 24 0.36252,-72 6 0.683999999992,-0.597,0.581,17.146,18.441,17.38
M007202,0 24 13.36032,-72 6 0.658800000004,-0.364,-1.16,20.007,22.016,20.26
M007204,0 24 12.74904,-72 6 0.658800000004,0.375,0.174,17.898,18.654,18.02
M007206,0 23 52.02636,-72 6 0.651600000023,1.1,0.555,18.567,19.42,18.69
M007209,0 24 2.8926,-72 6 0.64439999999,-0.376,0.665,17.606,18.395,17.72
M007211,0 24 16.33896,-72 6 0.640799999999,-0.192,-0.418,19.827,21.582,20.02
M007213,0 24 1.79568,-72 6 0.637200000008,0.87,-0.368,18.745,19.703,18.88
M007214,0 24 3.12732,-72 6 0.637200000008,-0.358,0.657,18.992,20.056,19.14
M007220,0 23 50.9352,-72 6 0.626399999984,0.0492,1.12,19.294,20.521,19.43
M007223,0 24 3.01752,-72 6 0.622799999993,0.901,-0.418,19.651,21.187,19.78
M007228,0 24 14.43312,-72 6 0.619200000002,0.705,-0.0349,17.652,18.289,17.59
M007231,0 24 17.34192,-72 6 0.61200000002,-0.809,0.223,18.322,19.103,18.45
M007232,0 23 53.39652,-72 6 0.608399999978,-0.176,0.304,18.592,19.536,18.76
M007233,0 24 3.59244,-72 6 0.601199999996,0.994,-0.944,19.611,21.145,19.8
M007235,0 23 52.18512,-72 6 0.597600000006,-0.536,-0.169,19.738,21.505,19.96
M007237,0 24 11.88216,-72 6 0.586799999982,0.492,-1.29,18.646,19.693,18.83
M007241,0 24 9.91512,-72 6 0.583199999991,0.635,-0.221,19.268,20.566,19.48
M007243,0 23 54.33108,-72 6 0.5796,0.52,0.374,19.647,21.196,19.88
M007251,0 24 0.15012,-72 6 0.561599999994,-0.263,0.763,19.688,21.474,19.9
M007258,0 23 59.18676,-72 6 0.550800000021,-0.28,0.162,18.235,19.064,18.38
M007265,0 24 4.66056,-72 6 0.539999999997,1.06,0.748,19.388,20.635,19.45
M007274,0 23 59.03268,-72 6 0.518400000001,0.101,0.81,19.32,20.643,19.48
M007283,0 24 4.55904,-72 6 0.507599999977,-1.05,0.314,17.487,18.238,17.66
M007286,0 24 14.14656,-72 6 0.503999999986,-0.517,0.00381,18.432,19.311,18.6
M007295,0 24 4.43376,-72 6 0.489600000022,-0.457,0.539,17.382,18.265,17.52
M007298,0 23 56.355,-72 6 0.475200000008,0.288,-0.189,17.216,18.446,17.44
M007299,0 24 18.59184,-72 6 0.475200000008,1.08,0.449,19.18,20.449,19.4
M007300,0 24 10.1124,-72 6 0.475200000008,1.4,-0.443,19.249,21.009,19.59
M007304,0 24 12.29112,-72 6 0.460799999993,0.106,0.146,19.039,20.226,19.23
M007308,0 24 4.94676,-72 6 0.45000000002,-0.281,-0.917,17.38,18.363,17.52
M007311,0 23 57.894,-72 6 0.45000000002,-0.94,0.993,19.865,21.662,20.09
M007314,0 23 55.70268,-72 6 0.439199999996,-0.806,-0.159,16.522,18.234,16.8
M007315,0 24 19.17468,-72 6 0.439199999996,-0.749,0.976,19.208,20.525,19.43
M007334,0 24 12.85524,-72 6 0.388800000021,-1.12,1.05,18.103,18.862,18.2
M007335,0 24 12.4308,-72 6 0.385199999979,0.938,1.4,19.438,21.328,19.56
M007336,0 23 51.9936,-72 6 0.381599999988,-0.813,-0.475,19.361,20.597,19.45
M007347,0 24 10.21176,-72 6 0.363599999982,-0.453,-1.17,19.471,20.797,19.57
M007354,0 24 18.03996,-72 6 0.356400000001,0.397,0.633,18.961,19.957,19.07
M007368,0 24 13.608,-72 6 0.327600000022,0.737,-0.731,20.084,22.072,20.32
M007369,0 23 56.89608,-72 6 0.32399999998,0.502,-0.706,18.418,19.279,18.57
M007370,0 24 11.17872,-72 6 0.320399999989,0.215,-0.663,18.021,18.813,18.18
M007373,0 24 2.75076,-72 6 0.316799999998,-1.06,-0.173,17.368,18.223,17.5
M007379,0 23 58.87392,-72 6 0.302399999983,0.725,-0.154,17.667,18.433,17.76
M007382,0 24 9.7452,-72 6 0.298799999993,0.0303,0.376,17.285,18.348,17.45
M007385,0 24 3.0186,-72 6 0.295200000002,0.912,1.37,20.264,22.353,20.43
M007387,0 24 11.27808,-72 6 0.295200000002,-0.461,0.432,17.587,18.339,17.73
M007389,0 23 56.70888,-72 6 0.291600000011,-0.0203,-0.362,19.038,20.181,19.19
M007390,0 24 5.43816,-72 6 0.291600000011,0.529,0.22,19.837,21.751,20.06
M007396,0 24 18.30384,-72 6 0.266400000023,0.213,0.399,17.278,18.269,17.48
M007429,0 24 3.294,-72 6 0.1944,1.56,0.158,16.461,18.229,16.75
M007433,0 23 55.8672,-72 6 0.187200000018,0.892,-0.384,18.206,18.988,18.33
M007437,0 23 52.16568,-72 6 0.179999999986,0.126,-0.425,19.837,21.527,20.01
M007438,0 23 57.70644,-72 6 0.176399999995,-0.798,-0.475,17.432,18.259,17.57
M007442,0 24 13.91724,-72 6 0.165600000022,-0.139,-0.955,17.299,18.287,17.47
M007448,0 23 54.54708,-72 6 0.151200000007,-0.288,-0.377,18.406,19.254,18.51
M007455,0 24 11.38464,-72 6 0.136799999992,0.188,-0.0704,19.611,21.372,19.92
M007460,0 24 9.60444,-72 6 0.122399999977,0.569,-0.385,19.788,21.612,20.04
M007474,0 24 17.89452,-72 6 0.0755999999933,0.0353,-1.09,18.146,18.94,18.28
M007481,0 24 0.9018,-72 6 0.0684000000115,-0.65,-0.273,18.09,18.892,18.25
M007485,0 24 9.0396,-72 6 0.0575999999876,-0.485,0.106,19.837,21.706,20.09
M007507,0 24 18.68076,-72 6 0.0108000000034,1.14,0.361,19.863,21.707,20.05
M007508,0 24 12.69576,-72 6 0.00360000002161,-0.491,0.807,18.907,19.908,19.06
M007517,0 23 59.67852,-72 5 59.9928,-0.524,-0.0824,17.667,18.558,17.8
M007518,0 24 2.01852,-72 5 59.9928,-0.414,0.426,17.384,18.224,17.53
M007521,0 24 9.369,-72 5 59.9892,-0.814,0.687,18.3,19.141,18.44
M007530,0 24 9.82872,-72 5 59.9784,1.23,-0.178,17.279,18.254,17.44
M007535,0 23 53.22588,-72 5 59.964,-0.0279,-0.275,16.841,18.413,17.12
M007543,0 23 53.7252,-72 5 59.9496,1.76,1.05,17.724,18.479,17.8
M007544,0 24 17.32536,-72 5 59.9496,-0.479,-0.307,19.899,21.697,20.11
M007550,0 24 13.65876,-72 5 59.9424,-0.145,-0.398,20.299,22.449,20.43
M007553,0 23 52.56636,-72 5 59.9352,0.255,0.0476,19.19,20.339,19.35
M007555,0 24 5.64084,-72 5 59.9316,-0.247,0.0867,17.68,18.476,17.78
M007561,0 23 57.93036,-72 5 59.9064,1.06,1.0,19.184,20.457,19.38
M007571,0 24 12.13524,-72 5 59.8956,-0.782,-0.383,18.843,19.872,18.99
M007574,0 24 15.19416,-72 5 59.8884,-0.566,0.0604,19.128,20.361,19.32
M007575,0 24 14.54832,-72 5 59.8848,0.119,-0.0729,18.416,19.26,18.54
M007580,0 24 14.42448,-72 5 59.8596,0.554,0.261,20.009,21.89,20.19
M007594,0 24 1.75104,-72 5 59.8236,-0.487,0.489,17.702,18.444,17.83
M007597,0 24 13.90212,-72 5 59.82,0.419,0.949,19.99,21.594,20.05
M007614,0 23 50.60976,-72 5 59.7912,0.906,0.494,18.49,19.341,18.61
M007618,0 24 3.52404,-72 5 59.7876,-0.184,-0.195,17.817,18.565,17.93
M007625,0 24 9.42912,-72 5 59.7624,0.386,1.23,19.419,20.859,19.58
M007626,0 24 14.2308,-72 5 59.7624,-0.0566,-0.951,20.074,21.231,19.85
M007630,0 24 19.09908,-72 5 59.7552,-1.25,-1.47,19.495,21.056,19.74
M007634,0 24 13.72284,-72 5 59.7336,0.735,-0.0229,19.878,21.781,20.07
M007635,0 23 51.29988,-72 5 59.7336,0.869,-0.098,18.922,19.922,19.04
M007645,0 24 5.09328,-72 5 59.7192,0.108,0.388,18.293,19.116,18.43
M007647,0 24 20.31372,-72 5 59.7084,0.0695,-0.479,18.722,19.717,18.94
M007650,0 24 10.8324,-72 5 59.7012,-0.535,-0.176,19.437,21.052,19.73
M007656,0 24 4.73148,-72 5 59.694,0.732,1.05,19.047,20.254,19.2
M007657,0 24 17.64972,-72 5 59.6904,-0.476,-0.142,17.963,18.699,18.07
M007660,0 23 55.45896,-72 5 59.6868,-0.197,-0.123,19.325,20.611,19.53
M007664,0 24 1.98252,-72 5 59.6796,-1.04,0.343,19.235,20.438,19.34
M007671,0 23 55.32108,-72 5 59.6688,0.608,0.695,19.466,21.062,19.71
M007672,0 23 54.1842,-72 5 59.6652,0.0813,-0.448,19.737,21.373,19.94
M007690,0 24 0.43632,-72 5 59.6328,0.644,-0.769,17.531,18.324,17.67
M007692,0 24 16.06176,-72 5 59.6328,1.08,-0.13,19.067,20.107,19.16
M007708,0 24 18.72252,-72 5 59.6004,-0.246,1.01,18.497,19.387,18.68
M007709,0 24 13.66092,-72 5 59.5932,0.301,1.47,20.172,22.161,20.34
M007710,0 24 5.22252,-72 5 59.5932,0.909,-0.654,18.841,19.933,19.0
M007712,0 24 14.10012,-72 5 59.5896,-0.131,0.393,19.295,20.863,19.56
M007718,0 24 17.98812,-72 5 59.5716,-0.183,0.647,19.738,21.329,19.95
M007735,0 24 11.10312,-72 5 59.5464,-0.827,0.34,17.704,18.387,17.78
M007736,0 23 50.96004,-72 5 59.5392,-1.46,-0.201,17.237,18.643,17.46
M007739,0 23 54.07404,-72 5 59.5356,0.664,-0.527,19.922,21.616,20.13
M007743,0 23 54.75012,-72 5 59.5284,0.684,0.0519,18.09,18.802,18.2
M007752,0 24 4.35276,-72 5 59.4996,-0.344,0.955,18.294,19.036,18.35
M007753,0 24 12.68532,-72 5 59.496,-0.14,1.13,19.58,21.108,19.78
M007757,0 24 8.4006,-72 5 59.4888,-0.858,0.0426,17.803,18.538,17.93
M007758,0 24 15.73848,-72 5 59.4816,-0.277,0.902,17.583,18.43,17.69
M007759,0 24 5.51628,-72 5 59.478,-0.0852,-0.229,17.173,18.693,17.38
M007763,0 24 20.78424,-72 5 59.4672,-0.265,0.857,17.934,18.693,18.05
M007764,0 23 58.55424,-72 5 59.4672,-0.652,-0.095,17.631,18.419,17.78
M007765,0 24 16.4124,-72 5 59.4636,0.507,-0.0724,17.401,18.224,17.54
M007766,0 24 16.31988,-72 5 59.46,0.0716,1.16,19.308,20.732,19.51
M007770,0 24 8.58996,-72 5 59.4564,0.0753,0.736,19.539,21.046,19.73
M007772,0 23 52.55268,-72 5 59.4456,-0.548,-0.0135,17.664,18.338,17.76
M007773,0 24 17.7966,-72 5 59.442,-0.0252,0.455,18.016,18.778,18.15
M007776,0 23 57.72624,-72 5 59.4312,-0.087,-1.09,19.704,21.26,19.84
M007784,0 23 52.1088,-72 5 59.4096,0.362,0.191,17.347,18.258,17.5
M007799,0 23 55.69116,-72 5 59.388,-0.194,-0.319,17.858,18.607,18.0
M007808,0 24 19.96524,-72 5 59.37,0.675,0.606,19.105,20.277,19.28
M007812,0 23 57.35724,-72 5 59.3592,-0.0361,0.709,18.769,19.74,18.92
M007813,0 24 0.3042,-72 5 59.3592,-0.332,-0.207,18.342,19.177,18.47
M007822,0 23 50.36532,-72 5 59.334,-1.1,-0.0993,17.419,18.272,17.53
M007823,0 24 14.01876,-72 5 59.334,-0.53,0.582,19.786,21.47,20.0
M007828,0 24 18.82044,-72 5 59.3232,0.136,0.388,17.938,18.693,18.08
M007830,0 23 57.6006,-72 5 59.3196,-0.939,0.62,18.496,19.365,18.65
M007836,0 24 2.06604,-72 5 59.3088,-0.854,0.392,17.87,18.677,18.03
M007838,0 24 14.20848,-72 5 59.3016,0.13,0.355,17.364,18.532,17.47
M007840,0 24 3.70944,-72 5 59.2944,-0.117,0.152,19.209,20.557,19.43
M007852,0 24 1.23048,-72 5 59.2656,0.636,-0.37,19.705,21.168,19.83
M007855,0 24 5.35716,-72 5 59.2512,0.295,0.864,18.741,19.663,18.79
M007859,0 23 53.73636,-72 5 59.2512,-0.621,-0.167,18.185,18.984,18.32
M007864,0 23 59.08956,-72 5 59.2368,-0.341,0.114,18.051,18.839,18.18
M007865,0 24 1.13256,-72 5 59.2368,0.0302,0.875,18.648,19.59,18.79
M007878,0 24 20.50668,-72 5 59.2188,0.116,0.141,19.824,21.637,20.07
M007888,0 24 8.48484,-72 5 59.19,-0.854,0.351,17.294,18.486,17.46
M007889,0 24 15.0642,-72 5 59.1864,0.161,-0.958,19.998,21.863,20.18
M007894,0 23 51.14724,-72 5 59.1756,-0.534,0.352,18.96,20.579,19.2
M007895,0 24 3.9996,-72 5 59.172,-0.313,-0.582,18.443,19.395,18.58
M007900,0 24 13.38876,-72 5 59.1648,-0.637,-0.543,19.432,20.832,19.63
M007918,0 24 16.76808,-72 5 59.1252,0.000555,-0.759,20.173,22.095,20.41
M007921,0 24 11.4804,-72 5 59.118,-1.16,-0.105,20.223,22.491,20.52
M007922,0 24 12.35808,-72 5 59.118,0.664,-0.752,19.34,20.662,19.46
M007927,0 24 4.45104,-72 5 59.0928,0.0579,0.112,18.402,19.287,18.53
M007931,0 24 21.04992,-72 5 59.0892,0.561,0.997,17.717,18.539,17.9
M007938,0 24 14.73948,-72 5 59.0748,-0.297,0.886,17.857,18.629,18.0
M007941,0 24 10.70388,-72 5 59.0604,0.0964,-0.593,20.096,22.132,20.25
M007942,0 24 1.65636,-72 5 59.0604,1.3,-0.571,19.983,21.741,20.13
M007947,0 23 56.52924,-72 5 59.0568,0.399,0.358,18.019,18.827,18.18
M007952,0 24 1.58616,-72 5 59.0496,-1.23,0.329,19.294,20.577,19.45
M007953,0 24 13.26996,-72 5 59.046,1.12,-2.34,19.846,21.573,20.03
M007957,0 23 59.23788,-72 5 59.0388,0.902,0.186,19.784,21.469,20.03
M007963,0 24 4.15764,-72 5 59.0208,-0.631,1.62,20.026,21.8,20.21
M007974,0 24 10.29744,-72 5 58.9992,-0.647,-1.11,19.446,20.896,19.63
M007975,0 24 5.56488,-72 5 58.9992,0.495,-0.563,17.984,18.783,18.03
M007976,0 23 58.308,-72 5 58.9992,0.103,-1.03,17.937,18.681,18.04
M007977,0 23 52.13472,-72 5 58.9956,-0.291,0.689,18.347,19.139,18.39
M007978,0 24 3.29688,-72 5 58.9956,-0.424,0.00297,19.093,20.269,19.26
M007980,0 24 16.20576,-72 5 58.992,-0.885,-0.733,18.213,19.056,18.39
M007983,0 24 13.51404,-72 5 58.9812,0.262,-0.45,18.479,19.4,18.65
M007986,0 24 19.179,-72 5 58.9776,-1.41,-1.05,19.405,20.755,19.58
M007987,0 24 20.4336,-72 5 58.974,0.0134,-0.431,18.447,19.334,16.39
M007988,0 23 57.3954,-72 5 58.9704,-0.897,-0.186,18.52,19.37,18.64
M007989,0 24 2.21616,-72 5 58.9704,-0.151,-0.0593,17.812,18.576,17.93
M007992,0 24 16.53444,-72 5 58.9668,0.366,-0.152,18.918,20.239,19.21
M007996,0 24 9.10332,-72 5 58.9596,0.383,-0.62,18.606,19.494,18.74
M008007,0 24 9.61776,-72 5 58.9452,0.133,-1.16,18.467,19.334,18.59
M008015,0 24 12.17052,-72 5 58.9344,0.249,0.225,18.805,19.685,18.88
M008019,0 24 8.99892,-72 5 58.9272,0.178,-0.617,19.748,21.491,19.97
M008020,0 23 54.339,-72 5 58.9272,1.05,0.0616,18.523,19.366,18.67
M008023,0 24 9.50256,-72 5 58.9164,-0.222,-0.734,17.673,18.457,17.81
M008036,0 24 3.82284,-72 5 58.8912,-0.938,-0.455,20.148,22.162,20.35
M008037,0 23 56.1822,-72 5 58.8876,0.933,0.988,19.893,21.605,20.05
M008042,0 24 11.6478,-72 5 58.8768,-0.479,0.855,18.095,18.843,18.24
M008053,0 23 53.58516,-72 5 58.8588,0.447,0.169,18.153,18.933,18.29
M008055,0 24 8.2926,-72 5 58.8552,-0.0991,-0.853,19.344,20.733,19.57
M008059,0 24 9.87372,-72 5 58.848,0.749,0.317,18.435,19.259,18.54
M008066,0 24 16.98516,-72 5 58.8192,-0.598,-0.549,17.952,18.756,18.08
M008069,0 23 59.40492,-72 5 58.8192,0.507,0.101,18.607,19.518,18.76
M008075,0 23 56.74812,-72 5 58.8048,-0.69,-0.159,17.292,18.245,17.45
M008078,0 24 13.22064,-72 5 58.794,-0.0892,0.456,18.164,18.987,18.3
M008090,0 24 4.71636,-72 5 58.7616,0.296,-0.472,18.626,19.588,18.77
M008094,0 24 11.86776,-72 5 58.7544,-0.393,-0.263,17.85,18.67,17.98
M008098,0 24 0.8334,-72 5 58.7328,-0.936,-0.926,17.33,18.222,17.48
M008105,0 24 10.3608,-72 5 58.722,-0.805,-1.7,19.591,21.042,19.64
M008114,0 23 50.45928,-72 5 58.704,0.348,-0.164,17.672,18.402,17.77
M008116,0 24 15.0894,-72 5 58.6968,-0.223,0.253,17.985,18.808,18.14
M008125,0 23 56.08104,-72 5 58.686,-0.587,0.728,17.131,18.545,17.37
M008128,0 23 53.97432,-72 5 58.6788,0.312,-0.551,18.183,18.948,18.3
M008136,0 24 13.77828,-72 5 58.6716,-0.436,-1.15,20.002,21.978,20.26
M008145,0 24 13.96188,-72 5 58.6572,1.5,0.755,20.012,21.915,20.19
M008165,0 24 1.25964,-72 5 58.6176,-0.77,-1.05,19.822,21.519,19.97
M008168,0 24 18.43308,-72 5 58.6104,0.28,0.502,18.239,19.023,18.36
M008169,0 24 21.1806,-72 5 58.6104,-0.321,-0.00664,17.716,18.424,17.74
M008179,0 24 18.94896,-72 5 58.5924,-0.393,-0.294,19.091,20.294,19.27
M008181,0 23 59.82972,-72 5 58.5888,0.333,-0.156,18.162,19.129,18.33
M008182,0 24 21.25548,-72 5 58.5888,2.37,0.389,19.16,20.128,19.13
M008188,0 24 0.58716,-72 5 58.5744,-0.289,0.379,19.905,21.709,20.14
M008202,0 24 5.31,-72 5 58.5492,-0.713,0.58,18.835,19.929,19.01
M008209,0 23 51.558,-72 5 58.5312,0.385,-0.35,17.791,18.549,17.9
M008216,0 24 11.7774,-72 5 58.5168,-0.885,1.71,19.725,21.479,19.93
M008218,0 24 14.62032,-72 5 58.5132,0.0355,-0.18,19.704,21.322,19.95
M008224,0 24 20.63232,-72 5 58.4916,-1.61,-0.989,18.156,18.807,18.12
M008227,0 24 3.8592,-72 5 58.488,0.673,1.09,19.15,20.37,19.33
M008229,0 23 54.51828,-72 5 58.4808,-0.564,-0.214,18.101,18.845,18.22
M008230,0 23 54.19212,-72 5 58.4772,-0.455,-0.0185,19.076,20.245,19.26
M008231,0 24 9.6768,-72 5 58.4772,-0.22,1.01,20.066,22.078,20.32
M008238,0 23 59.7372,-72 5 58.4592,-0.0459,0.567,18.533,19.387,18.66
M008242,0 23 53.19132,-72 5 58.452,0.54,0.727,18.926,20.011,19.11
M008245,0 23 59.50248,-72 5 58.4484,-0.347,0.616,19.467,20.867,19.66
M008246,0 24 4.12236,-72 5 58.4484,0.853,0.138,20.081,22.018,20.28
M008265,0 24 10.25604,-72 5 58.4088,-0.279,0.222,18.878,19.86,18.96
M008266,0 24 17.91792,-72 5 58.4088,0.357,0.168,18.301,19.127,18.45
M008268,0 23 56.53392,-72 5 58.4052,0.874,1.36,16.843,18.396,17.15
M008277,0 24 20.26224,-72 5 58.3872,-0.352,-0.0654,20.368,22.264,20.41
M008287,0 24 3.48084,-72 5 58.3584,-0.569,-0.363,18.852,19.901,19.0
M008300,0 24 18.03384,-72 5 58.3368,0.955,-0.778,20.181,22.331,20.44
M008305,0 24 19.16352,-72 5 58.326,-0.286,0.0961,19.17,20.586,19.59
M008308,0 24 4.71564,-72 5 58.3188,-0.149,0.179,18.004,18.806,18.15
M008313,0 24 9.1422,-72 5 58.3044,-0.799,1.24,19.613,21.147,19.87
M008314,0 24 4.47084,-72 5 58.3044,-0.565,-0.177,18.016,18.793,18.17
M008315,0 24 11.69388,-72 5 58.2936,0.508,-0.21,19.802,21.465,20.02
M008318,0 24 20.91924,-72 5 58.29,-0.323,0.817,17.701,18.456,17.84
M008322,0 24 8.65152,-72 5 58.29,0.388,-0.215,18.28,19.144,18.43
M008323,0 24 19.45044,-72 5 58.2864,0.229,0.58,17.946,18.687,18.1
M008325,0 24 19.5462,-72 5 58.2828,1.94,-0.451,19.163,20.463,19.36
M008333,0 24 11.9052,-72 5 58.2612,0.147,-0.269,19.085,20.267,19.22
M008340,0 24 3.16188,-72 5 58.2504,0.424,-0.36,18.374,19.247,18.52
M008343,0 23 50.21988,-72 5 58.2468,0.257,-0.114,18.866,19.839,18.97
M008346,0 23 56.84136,-72 5 58.2432,-0.568,0.213,17.411,18.136,17.48
M008352,0 24 16.21692,-72 5 58.236,-0.699,0.2,17.48,18.303,17.64
M008361,0 24 11.11464,-72 5 58.2216,0.157,-0.301,18.693,19.585,18.78
M008381,0 24 10.18476,-72 5 58.1568,1.17,-1.4,18.667,19.653,18.83
M008385,0 24 15.05556,-72 5 58.1496,0.116,-0.151,17.598,18.39,17.75
