MAIN_ID,oRA,oDE,n_Name,Name,MAG_USE,min,OK,c,RA,DEC,PMRA,PMDEC
65509,-2.742,7.8586,,65509,13.38,21.9,1,99.89,6.02115,-72.079101,0.0,0.0
103915,-28.9514,57.8576,,103915,13.38,25.31,1,100.0,5.997509,-72.065212,0.0,0.0
57944,-77.7295,-0.0324,,57944,13.39,24.06,1,99.96,5.953447,-72.081293,0.0,0.0
66716,11.414,9.2111,,66716,13.39,20.42,1,99.89,6.033929,-72.078725,0.0,0.0
11479,-86.0798,-59.9626,,11479,13.4,23.17,1,100.0,5.945838,-72.09794,0.0,0.0
56820,-18.1082,-1.2319,,56820,13.4,21.62,1,99.94,6.007275,-72.081626,0.0,0.0
24072,43.5561,-40.2269,,24072,13.41,23.52,1,100.0,6.062973,-72.092458,0.0,0.0
73263,43.5471,16.4811,,73263,13.41,26.24,1,99.96,6.062932,-72.076705,0.0,0.0
23247,3.4746,-41.3719,,23247,13.42,24.09,1,100.0,6.026764,-72.092776,0.0,0.0
42849,40.3246,-16.4168,,42849,13.42,24.12,1,100.0,6.060041,-72.085844,0.0,0.0
68971,-6.8114,11.6799,,68971,13.43,21.42,1,99.94,6.017476,-72.078039,0.0,0.0
69795,-34.181,12.591,,69795,13.44,22.02,1,100.0,5.99277,-72.077786,0.0,0.0
113227,32.7351,74.5789,,113227,13.44,26.19,1,100.0,6.053146,-72.060567,0.0,0.0
53252,-13.4761,-5.0018,,53252,13.45,22.37,1,99.94,6.011457,-72.082673,0.0,0.0
62415,65.4339,4.5867,,62415,13.45,24.01,1,99.95,6.082698,-72.080009,0.0,0.0
45351,-30.3391,-13.5577,,45351,13.46,23.87,1,100.0,5.996227,-72.08505,0.0,0.0
78000,-39.7719,21.94,,78000,13.46,21.63,1,100.0,5.987729,-72.075189,0.0,0.0
97967,80.9357,48.382,,97967,13.46,25.27,1,100.0,6.096645,-72.067844,0.0,0.0
63822,-44.273,6.0568,,63822,13.47,25.57,1,100.0,5.983656,-72.079601,0.0,0.0
80247,-17.3545,24.61,,80247,13.47,23.63,1,100.0,6.007962,-72.074447,0.0,0.0
22233,25.7337,-42.8165,,22233,13.48,21.06,1,100.0,6.046874,-72.093177,0.0,0.0
61430,-0.0546,3.5371,,61430,13.48,20.87,1,99.94,6.023576,-72.080301,0.0,0.0
42810,13.419,-16.4637,,42810,13.49,19.54,1,99.83,6.035744,-72.085857,0.0,0.0
23348,20.8779,-41.2311,,23348,13.5,23.64,1,100.0,6.042486,-72.092737,0.0,0.0
23640,-24.6495,-40.8274,,23640,13.5,23.04,1,100.0,6.001356,-72.092624,0.0,0.0
115670,70.9785,79.7295,,115670,13.5,27.07,1,100.0,6.087631,-72.059136,0.0,0.0
126057,-11.1944,105.601,,126057,13.51,24.78,1,100.0,6.013534,-72.05195,0.0,0.0
33660,-26.9649,-27.3346,,33660,13.52,23.77,1,100.0,5.999269,-72.088877,0.0,0.0
43726,-20.9004,-15.3935,,43726,13.52,23.42,1,100.0,6.004751,-72.08556,0.0,0.0
69109,-34.7469,11.8316,,69109,13.52,21.94,1,99.96,5.992259,-72.077997,0.0,0.0
128184,29.9526,114.3533,,128184,13.52,25.38,1,100.0,6.050622,-72.049519,0.0,0.0
54307,-13.0276,-3.8785,,54307,13.53,22.53,1,99.89,6.011862,-72.082361,0.0,0.0
12794,-70.9394,-57.6423,,12794,13.54,25.12,1,100.0,5.959522,-72.097295,0.0,0.0
23218,-96.689,-41.4036,,23218,13.54,24.89,1,100.0,5.936276,-72.092785,0.0,0.0
26127,8.2921,-37.2777,,26127,13.54,23.59,1,100.0,6.031116,-72.091638,0.0,0.0
33300,-39.4558,-27.7988,,33300,13.54,23.55,1,100.0,5.987988,-72.089005,0.0,0.0
34527,62.6619,-26.2474,M,34527,13.54,24.55,1,100.0,6.080221,-72.088575,0.0,0.0
67980,17.0535,10.5846,,67980,13.54,22.37,1,100.0,6.039019,-72.078343,0.0,0.0
74448,1.9034,17.8419,,74448,13.54,20.03,1,99.95,6.025342,-72.076327,0.0,0.0
77554,9.2256,21.4156,,77554,13.54,24.74,1,99.93,6.031951,-72.075335,0.0,0.0
55968,-11.7076,-2.1185,,55968,13.55,19.2,1,99.8,6.013054,-72.081872,0.0,0.0
79634,-4.5276,23.9055,,79634,13.55,24.65,1,100.0,6.019539,-72.074643,0.0,0.0
118793,82.173,86.5926,,118793,13.55,26.46,1,99.95,6.097719,-72.05723,0.0,0.0
61477,87.8591,3.5995,,61477,13.56,25.23,1,100.0,6.102945,-72.080284,0.0,0.0
97018,82.6451,46.9676,,97018,13.57,27.2,1,99.96,6.098189,-72.068237,0.0,0.0
26351,-75.0288,-36.9571,,26351,13.58,24.3,1,100.0,5.955847,-72.091549,0.0,0.0
39147,8.7496,-20.6618,,39147,13.58,22.95,1,99.94,6.031527,-72.087023,0.0,0.0
45623,42.2079,-13.2539,,45623,13.58,22.32,1,99.96,6.06174,-72.084965,0.0,0.0
116350,70.5855,81.2112,,116350,13.59,26.45,1,99.96,6.087276,-72.058725,0.0,0.0
76521,-2.2826,20.191,,76521,13.6,21.64,1,99.92,6.021564,-72.075675,0.0,0.0
86730,-5.8645,32.807,,86730,13.6,23.07,1,99.94,6.018333,-72.072171,0.0,0.0
72096,-13.0951,15.1655,,72096,13.61,21.0,1,99.95,6.011805,-72.077071,0.0,0.0
69618,-15.6155,12.4089,,69618,13.62,22.51,1,99.91,6.009529,-72.077837,0.0,0.0
80082,37.1528,24.4303,,80082,13.62,23.87,1,99.95,6.057156,-72.074497,0.0,0.0
63881,-10.7395,6.1292,,63881,13.63,22.82,1,99.83,6.013929,-72.079581,0.0,0.0
71833,-57.214,14.8758,,71833,13.63,20.58,1,100.0,5.971981,-72.077151,0.0,0.0
97974,-23.0955,48.3931,,97974,13.63,23.95,1,100.0,6.002789,-72.067841,0.0,0.0
39477,-4.6388,-20.2985,,39477,13.64,23.32,1,99.94,6.019436,-72.086922,0.0,0.0
45585,44.4901,-13.2899,,45585,13.64,24.81,1,99.96,6.063801,-72.084975,0.0,0.0
66759,0.399,9.2643,,66759,13.64,21.19,1,99.83,6.023985,-72.07871,0.0,0.0
56400,6.8087,-1.6648,M,56400,13.67,23.84,1,100.0,6.029772,-72.081746,0.0,0.0
57235,-1.0646,-0.793,,57235,13.68,21.57,1,99.89,6.022664,-72.081504,0.0,0.0
